id	sprg	gruppe	retning
774	Kommunen skal give tilladelse til at oprette en ny friskole på Blæsenborgvej i Lejre by	1	positiv
775	Der skal indføres stop for byggeri af nye boliger	10	negativ
776	Der skal lukkes flere små daginstitutioner i kommunen for at tilpasse antallet af pladser til antallet af børn	12	negativ
777	Der skal satses mere på vedvarende energikilder ved at få flere vindmøller og solcelleanlæg i kommunen	7	positiv
778	Der skal synges morgensang på alle folkeskoler i kommunen	-1	negativ
779	Der skal bygges flere boliger i kommunen	10	positiv
780	Kommunalbestyrelsesmøderne i Vallensbæk skal livestreames på kommunens hjemmeside	13	positiv
781	Tønder kommune skal fortsat finde plads til nye solcelleparker og vindmøller	7	positiv
782	Kommunen skal gøre mere for at tiltrække nye borgere og vende befolkningsudviklingen	-1	negativ
783	Der skal være flere overnatningsmuligheder for turister på Rømø	16	positiv
784	Kommunalbestyrelsen skal arbejde for, at flytrafikken i Københavns Lufthavn bliver reduceret	7	positiv
785	Sommerferiens lukkeuger i daginstitutionerne skal afskaffes	0	positiv
786	Tårnby Kommune skal lægges sammen med Dragør Kommune	-1	negativ
787	Daginstitutioner skal flyttes fra områder med høj luftforurening	0	positiv
788	Thisted Kommune skal hæve den nuværende grænse på 75 elever for, hvornår en skole skal lukkes	12	negativ
789	Thisted Kommune skal godkende flere vindmølle- og solcelleprojekter på land	7	positiv
790	Byrådet skal prioritere pengene til udvikling af Thisted by fremfor landdistrikterne	12	negativ
791	Kommunen skal arbejde for en fast forbindelse mellem Als og Fyn	4	positiv
792	Der skal gøres mere for at udvikle kommunens mindre byer med begivenheder, grønne oaser og nye erhvervstiltag	12	positiv
793	Kommunen skal bygge en ny folkeskole i Tårnby Kommune	0	positiv
794	Varde kommune skal finde plads til nye solcelleparker og vindmøller	7	positiv
795	Varde Kommune skal lave flere tiltag, der forbereder borgerne på at møde ulve	18	positiv
796	Kommunen skal arbejde for at få flere turister til kommunens ferieområder	16	positiv
797	Ærø skal indføre forbud mod at bruge sprøjtegifte på hele øen	18	positiv
798	Vordingborg Kommune skal finde plads til flere solcelleparker og vindmøller på land	7	positiv
799	Vordingborg Kommune skal bruge flere penge på at sikre kommunens mange kilometer kystlinje mod oversvømmelser	14	positiv
800	Vordingborg Kommune skal bruge flere penge på at tiltrække turister	16	positiv
801	Viborg Kommune skal fortsætte med etableringen af planlagte vedvarende energiparker	7	positiv
802	Viborg Kommune skal bygge et særligt botilbud til voksne med handicap og udadreagerende adfærd	2	positiv
803	Det er bedre at bygge i højden end i bredden omkring Viborg by	-1	negativ
804	Nye energiparker ved Svoldrup Kær og Nørrekær Enge skal være så små som muligt	7	negativ
805	Det er en god idé at lukke skoler med mindre end 75 elever for at spare penge	12	negativ
806	Kommunen skal bruge flere penge på gøre det attraktivt at bo i lokalområderne uden for Aars	12	positiv
807	Der skal investeres i udvikling af de mindre byer frem for Vejle by	12	positiv
808	Kommunens nuværende indsats og igangværende planer mod oversvømmelser i Vejle er tilstrækkelige	14	negativ
809	Der skal etableres en havnetunnel i Vejle by for at aflaste trafikken	4	positiv
810	Vejen Kommune skal etablere flere tilbud i kommunen til udsatte børn og unge	0	positiv
811	Kommunen skal bruge flere penge på at styrke skoleområdet	0	positiv
812	Sønderborg Lufthavn skal ikke udvides mere end allerede planlagt	18	positiv
813	Kolindsund skal gendannes som sø	18	positiv
814	Der skal bygges flere sommerhuse langs kommunens kyster	16	positiv
815	Der skal stilles flere solceller og vindmøller op på marker i kommunen	7	positiv
816	Kommunens mål om at være 100 procent grøn i 2030 har store negative konsekvenser for borgerne	7	negativ
817	Der skal opføres flere solcelleparker og vindmøller i Skanderborg Kommune	7	positiv
818	Området til Smukfest skal indskrænkes	11	negativ
819	Borgere i Silkeborg Kommune med bolig ned til søer og åer må selv sikre sig mod oversvømmelser	14	negativ
820	Det er en god idé, at der bygges flere højhuse i Silkeborg	10	positiv
821	Kommunen skal prioritere udvikling i de mindre byer, herunder skoler og foreningsliv, frem for i Silkeborg by	12	positiv
822	Kommunen skal fortsat bruge penge på at få store events til byen såsom Postnord Danmark Rundt	11	positiv
823	Kommunen skal sikre, at hurtigfærgen Lilleøre fortsat sejler mellem Samsø og Aarhus, selv hvis det er omkostningsfuldt for kommunen	12	positiv
824	Samsø Kommune skal bygge flere lejeboliger på øen	10	positiv
825	Samsø skal have flere energiprojekter som solcelleparker og landvindmøller	7	positiv
826	Der skal indføres stop for byggeri af nye boliger	10	negativ
828	Kommunen skal prioritere at etablere flere plejehjemspladser over andre anlægsprojekter	15	positiv
829	Rudersdal skal have et kommunalt parkeringskorps, der kan give afgifter til bilister, der holder ulovligt	4	negativ
830	Kommunen skal sælge flere grunde til byggeprojekter	10	positiv
831	Skive Kommune skal hæve grænsen for, hvor få elever der må være på en folkeskole, før den lukkes. Den nuværende grænse er 45 elever	12	negativ
832	Der skal være mindre biltrafik i bymidten i Roskilde	4	negativ
833	Der skal bygges flere vedvarende energiparker med solceller eller vindmøller i Skive Kommune	7	positiv
834	Det nye byråd skal garantere, at der ikke kommer flere lukninger eller sammenlægninger i folkeskolen	12	positiv
835	Kommunens ældre skal fremover kunne komme på privatejede plejehjem, såkaldte friplejehjem, flere steder, end det ene der allerede er lokalplan for i Egsmark ved Ebeltoft	1	positiv
836	Svendborg Kommune skal igen have to tankbiler i beredskabet og ikke kun en til fx brandslukning	5	positiv
837	Beslutningen om at etablere et nyt område med store butikker ved motorvejen skal rulles tilbage	6	negativ
838	Det er en god idé at udvikle Svendborg Havn med boliger, hotel og erhverv	10	positiv
839	Det er en god idé, at kommunen lukker en af kommunens mindre skoler for at spare penge	12	negativ
840	Struer Kommune skal prioritere udviklingen af bydelen Stævnen i Struer by frem for landsbyer og landområder	12	negativ
841	Stevns Kommune skal finde plads til flere vindmøller og solcelleanlæg	7	positiv
842	Kommunen skal prioritere at udvikle kommunens mindre byer, for eksempel Stenlille og Dianalund, frem for Sorø by	12	positiv
843	Der skal hellere prioriteres penge til flere ældreboliger og plejehjemspladser end til flere daginstitutioner	15	positiv
844	Kommunalbestyrelsen skal arbejde for at sikre, at der kommer en Kattegatforbindelse	4	positiv
845	Der skal etableres en hundestrand i Solrød	-1	negativ
846	Der skal etableres en solcellepark i Solrød Kommune	7	positiv
847	Der skal indføres stop for byggeri af nye boliger	10	negativ
848	Slagelse Kommune skal forbedre busforbindelserne mellem by og land, så flere får adgang til kollektiv transport	17	positiv
849	Ældreområdet i Slagelse Kommune skal fredes, hvis der bliver behov for besparelser i kommunen	15	positiv
850	Den ordning for ældre (klippekortordningen), der giver mulighed for at tilvælge ekstra hjælp, skal beskæres, hvis det styrker andre velfærdsområder	15	negativ
851	Hjemmeplejen skal bruge mere tid hjemme hos den enkelte borger, selvom det bliver dyrere	15	positiv
852	Holbæk Kommune skal arbejde for et hurtigere stop for muslingeskrab i Isefjorden	18	positiv
853	Folkeskoler med under 70 elever skal lukkes for at spare penge	12	negativ
854	Kommunen skal hyre ekstern hjælp til at forbedre arbejdsmiljøet på rådhuset	-1	positiv
855	Fanø skal have plads til flere turister og derfor skal der i lokalplaner give plads til turisme-byggeri	16	positiv
856	Fanø Kommune skal lægges sammen med Esbjerg	-1	negativ
857	Kommunen skal arbejde for en fast forbindelse mellem Fyn og Als	4	positiv
858	Kommunen skal prioritere udviklingen af de mindre byer frem for Faaborg, Ringe og Årslev	12	positiv
859	Kommunen skal gennemføre anlægsprojektet ved Slagterigrunden, hvorder blandt andet skal ligge bibliotek, caféer og virksomheder	-1	positiv
860	Favrskov skal etablere solcelleanlæg, vindmølleparker og biogasanlæg som det planlagte solcelleanlæg ved Hadsten-Nr. Galten	7	positiv
861	Esbjerg kommune skal lave flere store arrangementer, som for eksempel den nye Festival Suset	11	positiv
862	Esbjerg Kommune skal lægges sammen med Fanø Kommune	-1	negativ
863	Kommunen skal oprette flere 0. klasser på skoler, hvor der er for mange børn per klasse	0	positiv
864	Der skal indføres stop for byggeri af nye boliger	10	negativ
865	Kommunen skal hyre ekstern hjælp til at forbedre arbejdsmiljøet i byrådet	-1	positiv
866	Et borgerforslag skal have underskrifter fra 200 borgere i stedet for 400, før det skal behandles i byrådet i Egedal	-1	positiv
867	Dragør Kommune skal lægges sammen med Tårnby Kommune	-1	negativ
868	Esbjerg Kommune skal styrke skoleområdet ved at sikre flere timer med to lærere i klasserne	0	positiv
869	Politikerne skal sikre byudvikling i den vestlige del af Favrskov Kommune – for eksempel i form af byggegrunde og andre anlægsprojekter	10	positiv
870	Favrskov Kommune skal bygge en idrætshal i forbindelse med det kommende skolebyggeri i Foldby-Norring	11	positiv
871	Faxe Kommune skal prioritere at forbedre sagsbehandlingen for udsatte børn og unge	2	positiv
872	Der skal skæres i den ordning, der giver ældre mulighed for at tilvælge ekstra hjælp - også kaldet klippekortordningen - for at spare penge	15	negativ
873	Der skal lukkes folkeskoler, når elevtallet er for lavt	12	negativ
874	Valgfaget 'Privatøkonomi' skal udbydes i de ældste klasser på alle skoler	-1	negativ
875	Der skal indføres stop for byggeri af nye boliger	10	negativ
876	Frederiksberg skal genindføre de to timers gratis parkering	4	positiv
877	Kommunen skal forbedre Monjasa Park (fodboldstadion), så det kommer på samme niveau som andre superligaklubber	11	positiv
878	Fredericia Kommune skal prioritere udvikling af Fredericia by over de mindre byer og landområder	12	negativ
879	Fredericia Kommune skal fortsat støtte Fredericia Teater økonomisk	11	positiv
880	Fredericia Kommune skal bruge flere penge på markedsføring for at tiltrække krydstogtskibe til byen	16	positiv
881	Der skal være færre medlemmer af byrådet end de nuværende 27	-1	positiv
882	Byrådet skal arbejde for, at der bliver lavet en omfartsvej i form af en forlængelse af Overdrevsvej til det sydøstlige Fredensborg	4	positiv
883	Det er en god idé at opføre et stort rensningsanlæg på Fredensborg Kongevej uden for Kokkedal	-1	negativ
884	Der skal indføres stop for byggeri af nye boliger	10	negativ
885	Faxe Kommune skal arbejde for, at der investeres lige så meget i landområderne som i Faxe og Haslev	12	positiv
886	Faxe Kommune skal have flere solcelleparker	7	positiv
888	Dragør Kommune skal arbejde for, at støj og luftforurening fra Københavns Lufthavn bliver reduceret	18	positiv
889	Kystsikring i kommunen skal betales af alle gennem skatten	14	positiv
890	Der skal opføres flere vindmøller og solceller i Brønderslev Kommune	7	positiv
892	Byrådsmøderne i Allerød skal livestreames på kommunens hjemmeside	13	positiv
893	Kommunen skal igangsætte rewildingprojekter, hvor store dyr – fx kvæg - lever vildt og går ude og græsser hele året	18	positiv
895	Albertslund Kommune skal fortsætte med at byudvikle for at tiltrække flere borgere – for eksempel i den nye bydel Hersted	10	positiv
896	Byrådets midlertidige stop for udvidelsen af Aarhus Havn skal gøres permanent	10	negativ
897	Biltrafikken i Aarhus midtby skal begrænses, for eksempel gennem ensretninger, hastighedsnedsættelser og en nul-emissionszone	4	negativ
898	Kommunen skal fortsætte med planerne for det nye fodboldstadion i Kongelunden, selv hvis omkostningerne stiger igen	11	positiv
899	Der skal stilles vindmøller op på industrihavnen i Aarhus	7	positiv
900	Kommunen skal bevare alle de små skoler	12	positiv
901	Kommunen skal sikre en hurtigere sagsbehandling af bygge- og miljøsager	10	positiv
902	Det skal være billigere at parkere i Aalborg	4	positiv
903	Nørreport i Aabenraa skal bevares som et grønt område med plads til børn og bænke	18	positiv
904	Der skal opsættes flere solceller og vindmøller i Aabenraa Kommune	7	positiv
905	Aabenraa by skal have et vartegn som folk genkender	-1	negativ
906	Kommunen skal tilbyde højere løn eller andre fordele for at tiltrække og fastholde pædagoger	0	positiv
907	Der skal etableres flere energiparker med sol- eller vindenergi	7	positiv
908	Det er vigtigere at reparere eksisterende veje end at sætte gang i nye anlægsprojekter	4	positiv
909	Assens by bliver prioriteret for meget sammenlignet med centerbyer som for eksempel Glamsbjerg, Vissenbjerg eller Aarup	12	positiv
910	Kommunen skal tilbyde tilskud til hjemmepasning	0	positiv
911	Asaa Skole skal lukkes	12	negativ
912	Andelen af pædagoger i kommunens SFO’er skal sættes op	0	positiv
913	Det er en god idé at sænke hastighedsgrænsen på de kommunale veje	4	negativ
914	Der skal indføres stop for byggeri af nye boliger	10	negativ
915	Skolerne på Bornholm skal friholdes fra besparelser, selv hvis det kan føre til besparelser på andre velfærdsområder	0	positiv
916	Færgen til/fra Bornholm skal være CO2-neutral, selv hvis billetten bliver dyrere	7	positiv
917	Kommunen skal støtte Bornholms kommunale busselskab BAT mere økonomisk, så det bliver attraktivt for borgerne at køre med bus	17	positiv
918	De penge, kommunen bruger på byudvikling, skal bruges i andre byer end Billund by	12	positiv
919	Billund Kommune skal betale ekstra til oprensning af den forurenede Engsø i Grindsted, så den hurtigere renses	18	positiv
920	Der skal nedlægges plejehjemspladser i kommunen, så det passer til det aktuelle behov	15	negativ
921	Der skal indføres stop for byggeri af nye boliger	10	negativ
922	Kommunen skal fortsætte med at føre kontrol med ulovlig helårsbeboelse i kolonihaverne	19	positiv
923	Der skal fortsat være totalt rygeforbud på kommunens udendørs idrætsfaciliteter	19	positiv
924	Det er en god ide at etablere en solcellepark ved Dærup	7	positiv
925	Assens Kommune skal skabe flere buslinjer i kommunens yderområder	17	positiv
926	Frederikshavn Kommune skal lægges sammen med Læsø Kommune	-1	negativ
927	Kommunen skal have tryghedsvagter, der skal hjælpe politiet med at opretholde ro og orden - blandt andet ved Frederikssund Station efter mørkets frembrud	19	positiv
928	Byudviklingen i Vinge skal fortsat prioriteres højt	10	positiv
929	Horsens skal bruge flere penge på kulturarrangementer	11	positiv
930	Byrådet skal sikre flere og bedre cykelstier i hele Horsens Kommune, før de prioriterer bedre plads på vejene til bilisterne	17	positiv
931	Holstebro Kommune skal sikre en højere kvalitet på skoleområdet, selv hvis det medfører besparelser på andre områder	0	positiv
932	Pasningsgarantien skal gøres lokal, så et barn er sikret en plads i institutionen tættest på dets bopæl	0	positiv
933	Kommunens mindre byer skal prioriteres højere, for eksempel gennem øget støtte til skoler og ældre	12	positiv
934	Kommunen skal indkøbe nye elfærger til Ærø	7	positiv
936	Der skal inddrages mere landbrugsjord til grønne energiprojekter som f.eks. vindmøller og solcelleparker	7	positiv
937	Kommunens plejehjemsbeboere skal samles i færre og større ældrecentre i Hjørring, Hirtshals, Sindal, Tårs, Vrå og Løkken	15	negativ
938	Det kan blive nødvendigt at lukke folkeskoler med under 100 elever	12	negativ
939	Det er en god idé at bygge en ny kommunal svømmehal	11	positiv
940	Byudviklingen i Favrholm skal fortsat prioriteres højt	10	positiv
941	Der skal være bilfri zoner i midtbyen i Hillerød	4	negativ
942	Der skal være færre medlemmer af byrådet end de nuværende 27	-1	positiv
943	Herning Kommune skal lave flere sammenlægninger af kommunale folkeskoler	12	negativ
944	Horsens skal bygge flere plejehjemsboliger for at undgå den forventede mangel på pladser i fremtiden	15	positiv
945	Herning Kommune skal arbejde for at skaffe flere store kulturbegivenheder til kommunen	11	positiv
946	Kommunen skal ansætte tryghedsvagter, der kan gå rundt i bestemte områder og forebygge uro	19	positiv
947	Kommunen skal droppe førskoleordningen, hvor kommende skolebørn stopper i børnehaven og starter i SFO i foråret	0	positiv
948	Grundejere skal betale hovedparten for kystsikringen ved Strandparken	14	negativ
949	Der skal ansættes flere medarbejdere på plejehjemmene, også hvis det sker på bekostning af andre områder	15	positiv
950	Det er en god idé at prioritere, at kommunens nye stadionfaciliteter ved idrætscenteret kan leve op til kravene for 1. divisionsfodbold	11	positiv
951	Det er en god idé med en muslimsk gravplads i kommunen	3	positiv
952	Ikast-Brande skal prioritere byudvikling i Ikast by frem for i resten af kommunens byer	12	negativ
953	"Ikast-Brande Kommune skal godkende et biogasanlæg nord for Ikast"""	7	positiv
954	Kommunen skal prioritere, at de ældre får gjort rent hver anden frem for hver tredje uge, også hvis det medfører besparelser på andre områder	15	positiv
955	Det tidligere rådhus på Ådalsparkvej skal rives ned i stedet for at blive renoveret	-1	negativ
956	Der skal bygges flere boliger for at tiltrække nye borgere til Hørsholm	10	positiv
957	Rungsted Havn skal udvides med rekreative områder og plads til flere både	17	positiv
958	Det er en god idé med en muslimsk gravplads i kommunen	3	positiv
959	Der skal indføres stop for byggeri af nye boliger	10	negativ
960	Høje-Taastrup skal tilbyde højere løn end omkringliggende kommuner for at rekruttere og fastholde pædagoger	0	positiv
961	Kommunen skal fortsat stille krav om minimum 10 ugers projektbaseret undervisning i folkeskolerne	-1	negativ
963	Projektet med stormflodssikring gennem landindvinding i havet syd for Avedøre Holme skal gennemføres	14	positiv
964	Der skal være en frokostordning for børnene i alle daginstitutioner	0	positiv
965	Socialområdet skal friholdes for besparelser, selv hvis det betyder besparelser på andre områder	2	positiv
966	Det er en god idé, at kommunen etablerer støjhegn ved kunstgræsbanerne ved B1973	11	positiv
967	Det er en god idé med tryghedsvagter, der patruljerer i Greve for at forebygge uro og bidrage til øget tryghed	19	positiv
968	Det er en god idé, at et EU-statsborgerskab er afgørende for, om man må flytte ind i boligområdet Askerød	9	positiv
969	Der skal indføres stop for byggeri af nye boliger	10	negativ
971	Kommunen skal give økonomisk tilskud til forældre, der passer egne børn hjemme	0	positiv
972	Kommunen skal droppe førskoleordningen, hvor kommende skolebørn stopper i børnehaven og starter i SFO i foråret	0	positiv
973	Der skal indføres stop for byggeri af nye boliger	10	negativ
974	Det er en god idé at sænke hastighedsgrænsen på de kommunale veje	4	negativ
975	Gentofte Kommune skal tilbyde højere løn end omkringliggende kommuner for at rekruttere og fastholde pædagoger	0	positiv
976	Kommunalbestyrelsen skal genindføre kravet om en times bevægelse i folkeskolerne	-1	negativ
977	Det skal være en prioritet, at separeringen af kloaksystemet i regn- og spildevand skal gennemføres hurtigere end i år 2050, som er planen nu	7	positiv
979	Det er en god idé at sænke hastighedsgrænsen på de kommunale veje	4	negativ
980	Det er en god idé at have store græssende dyr - fx kvæg - på Baunesletten	18	positiv
981	Kommunen skal støtte kystbeskyttelsesprojekter økonomisk, selv hvis det betyder besparelser på andre områder	14	positiv
982	Beslutningen om at spare på affaldstømning for at få råd til el-skraldebiler skal rulles tilbage	7	negativ
983	Kommunen skal bevare førskoleordningen, hvor kommende skolebørn stopper i børnehaven og starter i SFO i foråret	0	negativ
984	Strandfodringen - påfyldning af sand - er den rigtige løsning i kystsikringsprojektet ‘Nordkystens Fremtid’	-1	positiv
985	Kommunen skal føre mere kontrol med den jord, der bliver læsset af i Gribskov	19	positiv
986	Der skal indføres stop for byggeri af nye boliger	10	negativ
987	Kommunen skal bruge penge på at få store sportsarrangementer til Helsingør	11	positiv
988	Det skal fortsat koste penge at parkere i centrum af Helsingør	4	negativ
989	Kommunen skal fortsat have regler for, hvor sent unge under 18 år må opholde sig i nattelivet, hvor der udskænkes alkohol	19	positiv
990	Kommunen skal lukke folkeskoler med færre end 100 elever for at spare penge	12	negativ
991	Den kollektive trafik skal styrkes med flere busafgange	17	positiv
992	Der skal bygges et kulturhus i Hedensted	11	positiv
993	Det er en god idé at yde økonomisk støtte til filmprojekter med optagelser i Halsnæs	11	positiv
994	Det er en god idé at bygge et strandhotel på Hundested Havn	16	positiv
995	Alle folkeskoler i Halsnæs skal have deres egen forebyggelsesrådgiver, der kan hjælpe børn og unge med deres problemer	2	positiv
